,ID,Name,Park Code,Latitude,Longitude,Number Of Sites Reservable,Number Of Sites First Come First Serve,Accessibility Classifications,Cost,Zip,City
0,EA81BC45-C361-437F-89B8-5C89FB0D0F86,277 North Campground,amis,29.51237369550921,-100.90816633365614,1,17,['Limited Development Campground'],6.0,,
1,1241C56B-7003-4FDF-A449-29DA8BCB0A41,Abrams Creek Campground,grsm,35.61074664664336,-83.93318327404131,16,0,['Developed Campground'],30.0,37878,Tallassee
2,ABDC6E2A-9959-4A4C-9DB6-EEF66E7C95B8,Adirondack Shelters,cato,39.67775041640082,-77.48462720159597,2,0,['Primitive Camping Areas'],10.0,21788,Thurmont
3,4F9ED6A5-3ED1-443D-9E4C-859D7988F199,Afterbay Campground,bica,45.315438210045016,-107.94165891102676,22,0,['Limited Development Campground'],35.0,59035,Fort Smith
4,9FAE941D-D7E8-4F36-A28F-8556628242BA,Akers Group Campground,ozar,37.3764551871,-91.5615463252,4,4,['Designated Primitive Campsites'],65.0,65466,Eminence
5,6EAB2A34-0D56-4A15-99E2-E41C06B0FF86,Alamo Canyon Campground,orpi,32.072943,-112.728093,4,0,['Limited Development Campground'],16.0,85321,Ajo
6,AB15EC6C-7761-4DFF-A4AC-38E6A9986FB7,Alley Spring Campground,ozar,37.148223,-91.449767,102,62,['Developed Campground'],30.0,65466,Eminence
7,4F9E59DF-BFCB-400F-8F4E-6A5233A47324,Alum Ford Campground,biso,36.764033745775,-84.5463375728999,0,6,['Limited Development Campground'],5.0,42653,Whitley City
8,B0B25595-CE24-4E9C-B0CD-93912216F113,American Memorial Park,amme,,,0,0,[],,96950,Saipan
9,E7CC7363-9C34-42ED-B3F0-769BB39E9400,Anacapa Island Campground,chis,34.0143426535482,-119.367763068282,7,0,['Designated Primitive Campsites'],15.0,93001,Anacapa Island
10,3CCB0AF7-A364-4490-A788-EE00700BD108,Antelope Point RV Park,glca,36.956030575674106,-111.43123626708984,104,0,[],,,
